PS C:\Users\chvbs\Desktop\mini_project\testing_frontend - Copy> pip list
Package                            Version
---------------------------------- ------------
absl-py                            2.1.0
accelerate                         0.28.0
aiofiles                           23.2.1
aiohappyeyeballs                   2.4.3
aiohttp                            3.10.10
aiosignal                          1.3.1
alembic                            1.14.0
altair                             5.2.0
annotated-types                    0.6.0
anyio                              3.7.1
argon2-cffi                        23.1.0
argon2-cffi-bindings               21.2.0
arrow                              1.3.0
asgiref                            3.8.1
asttokens                          2.4.1
astunparse                         1.6.3
async-lru                          2.0.4
attrs                              23.1.0
awk                                1.2.1
Babel                              2.14.0
bcrypt                             4.1.2
beautifulsoup4                     4.12.2
bleach                             6.1.0
blinker                            1.9.0
blis                               0.7.11
boto3                              1.34.142
botocore                           1.34.142
bpemb                              0.3.5
Brotli                             1.1.0
bs4                                0.0.1
cachelib                           0.9.0
cachetools                         5.3.2
catalogue                          2.0.10
certifi                            2023.7.22
cffi                               1.16.0
chardet                            5.2.0
charset-normalizer                 3.3.1
ChatterBot                         1.0.4
chatterbot-corpus                  1.2.0
click                              8.1.8
cloudpathlib                       0.16.0
cloudpickle                        3.0.0
colorama                           0.4.6
comm                               0.2.0
comtypes                           1.4.2
confection                         0.1.4
conllu                             4.5.3
contourpy                          1.2.0
coverage                           7.6.11
cvzone                             1.6.1
cycler                             0.12.1
cymem                              2.0.8
datasketch                         1.6.5
datasketches                       5.1.0
debugpy                            1.8.0
decorator                          5.1.1
deep-translator                    1.11.4
defusedxml                         0.7.1
Deprecated                         1.2.14
dill                               0.3.9
distlib                            0.3.8
distro                             1.9.0
Django                             5.0.6
dnspython                          2.7.0
docker                             7.1.0
easyocr                            1.7.2
EasyProcess                        1.1
email-validator                    2.1.0.post1
emoji                              1.7.0
emoji-translate                    0.1.1
en-core-web-sm                     3.7.1
enchant                            0.0.1
entrypoint2                        1.1
et-xmlfile                         1.1.0
executing                          2.0.1
fake-useragent                     1.5.1
fastai                             2.7.17
fastapi                            0.105.0
fastcore                           1.7.5
fastdownload                       0.0.7
fastjsonschema                     2.19.0
fastkaggle                         0.0.8
fastprogress                       1.0.3
filelock                           3.13.1
flair                              0.13.1
Flask                              3.0.0
Flask-Bcrypt                       1.0.1
Flask-Caching                      2.3.0
Flask-Compress                     1.17
Flask-Cors                         4.0.1
Flask-JWT-Extended                 4.6.0
Flask-Limiter                      3.10.1
Flask-Login                        0.6.3
Flask-Mail                         0.9.1
Flask-Migrate                      4.0.5
Flask-MySQLdb                      2.0.0
Flask-Principal                    0.4.0
Flask-ReCaptcha                    0.4.2
flask-sitemapper                   1.8.1
Flask-SQLAlchemy                   3.1.1
Flask-WTF                          1.2.1
flatbuffers                        24.3.25
flutter                            0.1
fonttools                          4.47.0
fqdn                               1.5.1
frontmatter                        3.0.8
frozenlist                         1.5.0
fsspec                             2024.3.1
ftfy                               6.2.0
gast                               0.5.4
gdown                              5.2.0
gensim                             4.3.2
gitdb                              4.0.11
GitPython                          3.1.42
google-ai-generativelanguage       0.3.3
google-api-core                    2.12.0
google-auth                        2.23.4
google-generativeai                0.2.2
google-pasta                       0.2.0
